Parameter	M1: HR only — OR (95% CI)	M1: HR only — p	M2: HR + activity — OR (95% CI)	M2: HR + activity — p	M3: HR + sleep — OR (95% CI)	M3: HR + sleep — p	M4: HR + activity + sleep — OR (95% CI)	M4: HR + activity + sleep — p
HR mesor	1.31 [1.18, 1.46]	< .001	1.31 [1.16, 1.47]	< .001	1.29 [1.16, 1.44]	< .001	1.30 [1.15, 1.46]	< .001
HR amplitude	0.88 [0.79, 0.98]	0.020	0.61 [0.53, 0.72]	< .001	0.89 [0.80, 1.00]	0.046	0.61 [0.53, 0.71]	< .001
HR acrophase	1.07 [0.96, 1.19]	0.193	1.24 [0.98, 1.57]	0.078	1.05 [0.93, 1.18]	0.479	1.18 [0.93, 1.51]	0.179
