Parameter	M1: HR only — OR (95% CI)	M1: HR only — p	M2: HR + activity — OR (95% CI)	M2: HR + activity — p	M3: HR + sleep — OR (95% CI)	M3: HR + sleep — p	M4: HR + activity + sleep — OR (95% CI)	M4: HR + activity + sleep — p
HR mesor	1.28 [1.07, 1.53]	0.006	1.22 [1.02, 1.46]	0.034	1.22 [1.02, 1.46]	0.026	1.17 [0.97, 1.40]	0.100
HR amplitude	0.86 [0.72, 1.04]	0.121	0.82 [0.67, 1.01]	0.060	0.90 [0.75, 1.08]	0.271	0.86 [0.70, 1.06]	0.168
HR acrophase	1.13 [0.95, 1.34]	0.170	1.10 [0.93, 1.30]	0.263	1.11 [0.94, 1.31]	0.220	1.09 [0.92, 1.28]	0.307
