Parameter	Unadjusted OR (95% CI)	Unadjusted p	Adjusted OR (95% CI)	Adjusted p	N	N cases
SD daily mesor	1.17 [1.04, 1.32]	0.007	1.10 [0.97, 1.24]	0.140	1655	299
SD daily amplitude	1.00 [0.89, 1.13]	0.998	0.87 [0.75, 1.00]	0.053	1655	299
SD daily acrophase	1.21 [1.07, 1.37]	0.003	1.19 [1.05, 1.35]	0.008	1655	299
