outcome,predictor,predictor_label,or_per_sd_base,ci_lo_base,ci_hi_base,p_raw_base,p_fdr_base,or_per_sd_adj,ci_lo_adj,ci_hi_adj,p_raw_adj,p_fdr_adj,n,n_events
Depression,SD_daily_mesor,SD daily mesor,1.090072674869576,0.975809558442109,1.2177155124350083,0.12687832136916075,0.12687832136916075,1.0735854007609207,0.9566603007253245,1.204801340510435,0.22748248948625294,0.22748248948625294,2752,299
Depression,SD_daily_amplitude,SD daily amplitude,1.0138340374766048,0.9040081163287114,1.1370024637835976,0.8143158283639805,0.8143158283639805,1.0005881769531724,0.8784277004280805,1.1397371683185467,0.9929381330316108,0.9929381330316108,2752,299
Depression,SD_daily_acrophase,SD daily acrophase,1.073549878085436,0.9650365471562462,1.1942649676154236,0.19176737720529746,0.19176737720529746,1.0349291817531117,0.9272269764791681,1.1551415547800654,0.5403039946926211,0.5403039946926211,2752,299
Obesity,SD_daily_mesor,SD daily mesor,1.1903182829486314,1.0708584071527056,1.3231045348834176,0.0012436026958410962,0.0012436026958410962,1.1657005491142294,1.0393239826347522,1.3074438701591637,0.008825279467082371,0.008825279467082371,2623,292
Obesity,SD_daily_amplitude,SD daily amplitude,1.138113090341373,1.0135586300883002,1.2779738319563665,0.028691255915387424,0.028691255915387424,1.1336555296777249,0.9963230557078877,1.289917815919422,0.05690339541664823,0.05690339541664823,2623,292
Obesity,SD_daily_acrophase,SD daily acrophase,1.142822637609119,1.027954245809569,1.2705269581364338,0.013508059028370429,0.013508059028370429,1.0812935647310562,0.969066084245799,1.206518102466409,0.1621311389571043,0.1621311389571043,2623,292
Hypertension,SD_daily_mesor,SD daily mesor,1.1180190792682851,0.9398086708151826,1.330022482686495,0.2079449940750363,0.2079449940750363,1.0543176211522614,0.8760449308252689,1.26886830476264,0.5756999353240009,0.5756999353240009,1685,154
Hypertension,SD_daily_amplitude,SD daily amplitude,1.0066409514602246,0.8497678111265088,1.1924739815849388,0.9389600529838545,0.9389600529838545,0.9467698780560928,0.781560469398707,1.14690191877792,0.5761166105981581,0.5761166105981581,1685,154
Hypertension,SD_daily_acrophase,SD daily acrophase,1.0964908892586835,0.9500285878708107,1.2655327277275494,0.20795750727948192,0.20795750727948192,0.9983726477742991,0.8470995075012407,1.1766598079652466,0.984499840703986,0.984499840703986,1685,154
