outcome,predictor,or_per_sd,ci_lo,ci_hi,p_raw,p_fdr,n_cases,n_hc
Depression,SD daily mesor,1.184863260586383,1.071764496107218,1.30989685829913,0.0009197257497525873,0.0009197257497525873,410,1793
Depression,SD daily amplitude,1.028854697505945,0.9291966875918197,1.1392012075758164,0.5842125018605265,0.5842125018605265,410,1793
Depression,SD daily acrophase,1.2804309937333493,1.1508579089243043,1.4245924861787678,5.593413002865314e-06,5.593413002865314e-06,410,1793
Obesity,SD daily mesor,1.1909338734238284,1.0846122492290216,1.3076779207283293,0.00024997187065752485,0.00024997187065752485,407,2434
Obesity,SD daily amplitude,1.1244138649863655,1.0165054022589672,1.2437774919483204,0.022727239842293526,0.022727239842293526,407,2434
Obesity,SD daily acrophase,1.2099268579682496,1.1020531336158343,1.3283597287453752,6.348416195114727e-05,6.348416195114727e-05,407,2434
Hypertension,SD daily mesor,1.157670505878526,1.0013166808239748,1.3384387036059384,0.047958234650218916,0.047958234650218916,221,1084
Hypertension,SD daily amplitude,1.03646480001393,0.9069238233166239,1.1845088353058646,0.5990449353806577,0.5990449353806577,221,1084
Hypertension,SD daily acrophase,1.2809508874936908,1.1211258778739612,1.4635601662165358,0.00027111457348727035,0.00027111457348727035,221,1084
