outcome,predictor,or_per_sd,ci_lo,ci_hi,p_raw,p_fdr,n_cases,n_hc
Depression,mesor,1.3135989659352993,1.1789542043449288,1.4636210948202724,7.667303676486206e-07,7.667303676486206e-07,463,1979
Depression,amplitude,0.910222319003437,0.8227059446170507,1.0070483572324778,0.06818417931498032,0.06818417931498032,463,1979
Depression,acrophase,1.090724317750641,0.9846870986069474,1.2081802828692076,0.09606490555170938,0.09606490555170938,463,1979
Obesity,mesor,1.342340821444341,1.209698194628522,1.4895276267393247,2.9204874155227055e-08,2.9204874155227055e-08,457,2692
Obesity,amplitude,0.9150687958603898,0.8270873197705202,1.0124093081123662,0.08527865408945808,0.08527865408945808,457,2692
Obesity,acrophase,1.1411151749304078,1.0326099617683522,1.261021964408056,0.009613406187739827,0.009613406187739827,457,2692
Hypertension,mesor,1.5355970832039583,1.327609741975641,1.7761683478123875,7.639676647248939e-09,7.639676647248939e-09,270,1214
Hypertension,amplitude,0.8347968694880175,0.7277010767429457,0.9576539537719595,0.00994785552701526,0.00994785552701526,270,1214
Hypertension,acrophase,1.2794012610267167,1.1216827370678315,1.459296405858626,0.000241926898304643,0.000241926898304643,270,1214
