outcome,predictor,or_primary,ci_primary_lo,ci_primary_hi,p_primary_fdr,or_superhealthy,ci_superhealthy_lo,ci_superhealthy_hi,p_superhealthy_fdr,n_hc_primary,n_hc_superhealthy,discrepancy_flag
Depression,mesor,1.1217680972091888,1.0145931894470113,1.24026425271214,0.0249138870605128,1.3135989659352993,1.1789542043449288,1.4636210948202724,7.667303676486206e-07,3742,1979,OR shift > 0.05
Depression,amplitude,1.0242140235570034,0.9323476438174658,1.1251322111521325,0.6177823948609603,0.910222319003437,0.8227059446170507,1.0070483572324778,0.06818417931498032,3742,1979,OR shift > 0.05
Depression,acrophase,0.963812755703364,0.8799943695848241,1.0556147404610992,0.4271859070340121,1.090724317750641,0.9846870986069474,1.2081802828692076,0.09606490555170938,3742,1979,OR shift > 0.05
Obesity,mesor,1.2930949912739569,1.1694918520712445,1.429761698207994,5.321723835350372e-07,1.342340821444341,1.209698194628522,1.4895276267393247,2.9204874155227055e-08,3475,2692,
Obesity,amplitude,0.9128231868470958,0.8268305314167164,1.007759315585479,0.0707853686912897,0.9150687958603898,0.8270873197705202,1.0124093081123662,0.08527865408945808,3475,2692,
Obesity,acrophase,1.135650477591684,1.0316459850558768,1.2501400925670898,0.0094394624605657,1.1411151749304078,1.0326099617683522,1.261021964408056,0.009613406187739827,3475,2692,
Hypertension,mesor,1.2996056704437555,1.132006080806374,1.492019280891529,0.0001991586499636,1.5355970832039583,1.327609741975641,1.7761683478123875,7.639676647248939e-09,2399,1214,OR shift > 0.05
Hypertension,amplitude,0.9484692737783672,0.8327440711082379,1.0802766354186828,0.4255154474315271,0.8347968694880175,0.7277010767429457,0.9576539537719595,0.00994785552701526,2399,1214,OR shift > 0.05; sig flip at p < .05
Hypertension,acrophase,1.169550289141561,1.0254574500325444,1.3338904298639582,0.0195588299537335,1.2794012610267167,1.1216827370678315,1.459296405858626,0.000241926898304643,2399,1214,OR shift > 0.05
