outcome	model	predictor	predictor_label	vif	flag_5	flag_10
Hypertension	M2_HR+activity	mets_amplitude	METs amplitude	21.25058714309619	True	True
Hypertension	M2_HR+activity	mets_acrophase	METs acrophase	23.12903964623648	True	True
Hypertension	M3_HR+sleep	hr_mesor	HR mesor	1.1170141982696122	False	False
Hypertension	M3_HR+sleep	hr_amplitude	HR amplitude	1.1755766015657545	False	False
Hypertension	M3_HR+sleep	hr_acrophase	HR acrophase	1.5972686025261844	False	False
Hypertension	M3_HR+sleep	sleep_mesor	Sleep mesor	5.355940195233707	True	False
Hypertension	M3_HR+sleep	sleep_amplitude	Sleep amplitude	5.953260286011066	True	False
Hypertension	M3_HR+sleep	sleep_acrophase	Sleep acrophase	1.7782034076638584	False	False
Hypertension	M4_full	hr_mesor	HR mesor	1.192216778927275	False	False
Hypertension	M4_full	hr_amplitude	HR amplitude	1.98625340559454	False	False
Hypertension	M4_full	hr_acrophase	HR acrophase	5.526742108084726	True	False
Hypertension	M4_full	steps_mesor	Steps mesor	25.60815441496629	True	True
Hypertension	M4_full	steps_amplitude	Steps amplitude	27.85614031598701	True	True
Hypertension	M4_full	steps_acrophase	Steps acrophase	15.058912469114748	True	True
Hypertension	M4_full	mets_mesor	METs mesor	17.27850278887995	True	True
Hypertension	M4_full	mets_amplitude	METs amplitude	22.46095476260826	True	True
Hypertension	M4_full	mets_acrophase	METs acrophase	23.246382444269646	True	True
Hypertension	M4_full	sleep_mesor	Sleep mesor	5.469132547293738	True	False
Hypertension	M4_full	sleep_amplitude	Sleep amplitude	6.284088396334697	True	False
Hypertension	M4_full	sleep_acrophase	Sleep acrophase	1.8248363469959532	False	False
