outcome,predictor,or_single,ci_single_lo,ci_single_hi,p_single,or_multi,ci_multi_lo,ci_multi_hi,p_multi,discrepancy_flag
depression,mesor,1.329538558946793,1.1920998703056649,1.4828227263149252,3.117044093590287e-07,1.329538558946793,1.1920998703056649,1.4828227263149252,3.117044093590287e-07,
depression,amplitude_24,0.9028558316083015,0.8155050794219232,0.9995629374214834,0.04902383357392473,0.9028558316083019,0.8155050794219233,0.999562937421484,0.04902383357392625,
depression,acrophase_24,1.0721316934151968,0.9665981145564794,1.189187471726827,0.1877092861022469,1.0721316934151963,0.9665981145564789,1.1891874717268267,0.18770928610224957,
obesity,mesor,1.3360982750250718,1.2029325213078919,1.4840056020632426,6.334796375656685e-08,1.3360982750250718,1.2029325213078919,1.4840056020632426,6.334796375656685e-08,
obesity,amplitude_24,0.9093016660392483,0.8216327068054402,1.0063249831868524,0.06605160855331958,0.9093016660392486,0.8216327068054409,1.0063249831868522,0.06605160855331899,
obesity,acrophase_24,1.1384825775007945,1.0290346720338035,1.2595713385547367,0.011904549279270855,1.1384825775007943,1.029034672033803,1.259571338554737,0.01190454927927127,
hypertension,mesor,1.5564027848020607,1.3422776247687511,1.8046859932995913,4.683861063562196e-09,1.5564027848020607,1.3422776247687511,1.8046859932995913,4.683861063562196e-09,
hypertension,amplitude_24,0.8291926854234394,0.7229838526741241,0.9510039636661763,0.0073991109646188305,0.829192685423439,0.722983852674124,0.9510039636661757,0.007399110964618574,
hypertension,acrophase_24,1.2671376912499008,1.1092315313743135,1.4475227967931805,0.0004892057859311674,1.2671376912498997,1.1092315313743109,1.4475227967931812,0.0004892057859312591,
