label	predictor	n	n_cases	OR	OR_lo	OR_hi	p	analysis	OR_feature	OR_feature_lo	OR_feature_hi	p_feature	OR_mesor_in_joint	p_mesor_in_joint	mesor_OR_sameN	mesor_OR_sameN_lo	mesor_OR_sameN_hi	mesor_p_sameN
Typical-day mesor	typical_day_mesor	2274	270	1.5314859106725436	1.327262698931092	1.7671325326006768	5.310001066642404e-09	between										
Typical-day amplitude	typical_day_amplitude	2274	270	0.8199261101065298	0.7164762719206498	0.9383127570048553	0.003910822097280395	between										
Typical-day acrophase	typical_day_acrophase	2274	270	1.188771094026725	1.0416350588053274	1.3566908122450279	0.010315845993715217	between										
SD daily mesor	SD_daily_mesor	2042	221	1.1980115572388075	1.0391445047319388	1.3811666084381495	0.012811621078433706	within_univariate										
SD daily amplitude	SD_daily_amplitude	2042	221	0.9933064092714071	0.8718557132656014	1.1316753537165631	0.9196030420398754	within_univariate										
SD daily acrophase	SD_daily_acrophase	2042	221	1.2605031519566146	1.1120043718415356	1.428832688365527	0.0002946248550012964	within_univariate										
SD daily mesor	SD_daily_mesor	2042	221					within_joint_with_mesor	1.2441453396778448	1.0815165494048427	1.431228793580557	0.0022402607670474095	1.5362422474860513	8.62999061900246e-08				
SD daily amplitude	SD_daily_amplitude	2042	221					within_joint_with_mesor	1.0919801446503379	0.9557314094585974	1.2476524518390113	0.19564009876174193	1.531338712746685	2.7641563721159517e-07				
SD daily acrophase	SD_daily_acrophase	2042	221					within_joint_with_mesor	1.2664124825299925	1.1093020307240438	1.4457744883609152	0.0004742940103562925	1.5031759683631598	3.593272578929107e-07				
SD daily mesor		2042	221					mesor_same_N_re_run							1.4959527567038338	1.2798833475493014	1.7484989195107845	4.182695346713763e-07
SD daily amplitude		2042	221					mesor_same_N_re_run							1.4959527567038338	1.2798833475493014	1.7484989195107845	4.182695346713763e-07
SD daily acrophase		2042	221					mesor_same_N_re_run							1.4959527567038338	1.2798833475493014	1.7484989195107845	4.182695346713763e-07
